LIBID,Year,LibraryName,Address,City,ZIP,MailingAddress,MailingCity,MailingZIP,County,Phone,DistCoop,CentralLibrary,Branches,Bookmobiles,RegisteredUsers,RegisteredUsersAdded,LibrariansALAMLS,LibrariansTotal,OtherStaff,Volunteers,VolunteerHours,FriendsGroup,Foundation,StaffPositionsFT,StaffPositionsPTUnder20,StaffPositionsPTOver20,StaffPositionsTempOnCall,RevenueCity,RevenueCounty,RevenueDistrict,RevenueState,RevenueLSTA,RevenueErate,RevenueOtherFed,RevenueOtherOperating,CaptialRevenueLocal,CapitalRevenueState,CapitalRevenueFed,CapitalRevenueOther,ExpendituresSalariesWages,ExpendituresBenefits,ExpendituresPrintMaterials,ExpendituresPeriodicals,ExpendituresElectronicMaterials,ExpendituresOtherMaterials,ExpendituresOtherOperating,ExpendituresServiceCharges,CapitalExpendituresConstruction,CapitalExpendituresEquipment,CapitalExpendituresOther,CollectionBooks,CollectionBooksAdded,CollectionPhysicalAudio,CollectionPhysicalAudioAdded,CollectionVideosPhysical,CollectionVideosPhysicalAdded,CollectionOtherMaterials,CollectionOtherMaterialsAdded,CollectionEbooksODLC,CollectionEbooksODLCAdded,CollectionEbooksLocal,CollectionEbooksLocalAdded,CollectionAudiobooksODLC,CollectionAudiobooksODLCAdded,CollectionAudiobooksLocal,CollectionAudiobooksLocalAdded,CollectionDigitalVideosODLC,CollectionDigitalVideosODLCAdded,CollectionDigitalVideosLocal,CollectionDigitalVideosLocalAdded,CollectionPhysicalSpanish,CollectionDigitalSpanish,CollectionOtherLanguages,CollectionDatabasesLocal,CollectionDatabasesLocalAdded,CollectionStatewideDatabases,CollectionStatewideDatabasesAdded,DatabaseUsageStatewide,DatabaseUsageLocal,CircAdult,CircAdultRenewals,CircYA,CircYARenewals,CircChildrens,CircChildrensRenewals,CircOtherMaterials,CircOtherMaterialsRenewals,CircNoAgeCategory,CircNoAgeCategoryRenewals,CircODLC,CircEcontentLocal,CircNetworkLoans,CircILLLoans,CircNetworkBorrows,CircILLBorrows,CircNonresidents,ReferenceTransactions,ReferenceTransactionsMethod,MeetingRoomUse,ProgramsSummerReading,ProgramsKids0-11,ProgramsKids0-11Attendance,ProgramsKids0-5,ProgramsKids0-5Attendance,ProgramsKids6-11,ProgramsKids6-11Attendance,ProgramsYA12-18,ProgramsYA12-18Attendance,ProgramsAdults,ProgramsAdultsAttendance,ProgramsGeneralInterest,ProgramsGeneralInterestAttendance,ProgramsInPersonOnsite,ProgramsInPersonOnsiteAttendance,ProgramsInPersonOffsite,ProgramsInPersonOffsiteAttendance,ProgramsVirtual,ProgramsVirtualAttendance,ProgramsRecorded,ProgramsRecordedViews,ProgramsSelfDirected,ProgramsSelfDirectedParticipants,TechPublicComputersSessions,TechPublicComputersMethod,TechPublicComputers,TechWiFiScenario,TechWiFiSessions,TechWiFiSessionsMethod,TechDownloadSpeed,TechUploadSpeed,TechSharedILS,TechILSProductName,TechWebsiteVisits,HoursWeekday,HoursWeekdayEvening,HoursWeekend,HoursWeekendEvening,WeeksOpenYear,HoursOpenYear,LibraryVisits,LibraryVisitsMethod,FacilitiesSqFtCentral,FacilitiesSqFtTotal,FacilitiesConstructionDate,FacilitiesRemodelDate,FinesAdultMaterials,FinesChildrensMaterials,FinesYAMaterials,FeesILL,FeesNonresident,SalaryDirectorHourlyLow,SalaryDirectorHourlyHigh,SalarySupervisoryLibHourlyLow,SalarySupervisoryLibHourlyHigh,SalaryLibrarianHourlyLow,SalaryLibrarianHourlyHigh,SalaryLibAssistHourlyLow,SalaryLibAssistHourlyHigh,SalaryLibClerkHourlyLow,SalaryLibClerkHourlyHigh,PopulationServed,InterlibraryRelationshipCode,LegalBasisCode,AdminStructureCode,PLSCPubLibDefinition,GeographicCode,Website
OR0041,2018,Jackson County Library Services,205 S Central Ave,Medford,97501,205 South Central Ave,Medford,97501,Jackson,541-774-6423,NONE,1,14,0,138952,,13.75,16.5,61.03,248,16028,TRUE,TRUE,,,,,0,0,10033472,34868,0,106750,0,1074720,0,0,0,0,2721706,909071,557552,39953,214634,34995,3862625,,0,0,426518,479043,26891,34627,2404,28827,4043,936,4,45061,5554,810,259,27310,3943,268,30,,,0,0,,,,15,1,23,0,4381,62831,689725,415473,41522,28157,338943,244506,0,0,,,137055,0,3440,734,12510,183,0,208364,,,TRUE,3283,68551,,,,,375,6741,1187,33525,,,,,,,,,,,,,103360,,184,,90556,,Greater than 201Mbps,,NONE,Polaris,399485,27,3,11,0,52,2015,908864,,83191,182432,,,,,,5,100,45.67,52.88,21.88,33.46,19.04,22.62,13.29,17.09,11.85,16,216900,ME,CO,MO,TRUE,CO1,
OR0037,2018,Jefferson County Library District,241 SE 7th St,Madras,97741,241 SE 7th St,Madras,97741,Jefferson,541-475-3351,NONE,1,0,0,8379,,0,1,6.63,,3290,TRUE,TRUE,,,,,0,0,607254,7227,0,0,0,24916,0,0,0,52738,227989,108791,41678,2079,15259,15417,163408,,71190,2533,0,39875,3474,3547,273,3811,663,29,1,0,0,77710,10452,0,0,77710,3835,,,0,0,,,,5,0,23,0,106,14307,69263,21894,3268,1705,24127,6598,,,,,0,13822,39483,1,9461,929,,8996,,,TRUE,674,20105,,,,,247,1358,93,1381,,,,,,,,,,,,,5904,,9,,n/a,,6.1M-10Mbps,,Deschutes,Innovative Interfaces,19142,37,8,5,0,52,2600,77061,,6148,6148,,,0.1,,0.1,as charged by other library / OCLC cost,45,,,,,,,12,17,10,12,18257,NO,LD,SO,TRUE,CO2,
OR0022,2018,Jefferson Public Library,150 N 2nd St Suite B,Jefferson,97352,PO Box 1068,Jefferson,97352,Marion,541-327-3826,CCRLS,1,0,0,1972,,1,1,0,10,456,TRUE,FALSE,,,,,79362,0,17903,1000,0,0,0,3818,0,0,0,0,50564,10370,6074,137,0,670,8420,,0,0,0,12722,1283,749,80,1842,257,15366,1630,45061,5554,609,268,27310,3943,120,217,,,0,0,,,,15,0,23,0,0,0,8679,3676,711,339,8727,2971,18117,6986,,,1961,103,7782,19,6056,0,6129,1768,,,TRUE,63,1120,,,,,6,458,3,12,,,,,,,,,,,,,2475,,7,,2798,,11M-100Mbps,,CCRLS,SirsiDynix,1339,21,3,6,0,52,1560,9589,,2030,2030,,,0.25,,0.25,1,60,17.82,24.25,,,,,11.38,15.48,,,3235,ME,CI,SO,TRUE,CI2,
OR0025,2018,Joseph City Library,201 N Main St,Joseph,97846,PO Box 15,Joseph,97846,Wallowa,541-432-0141,NONE,1,0,0,764,,0,0.55,0,1,8,TRUE,TRUE,,,,,26385,300,0,1000,0,0,0,0,0,0,0,0,14280,2500,4100,450,1400,3054,3014,,0,0,0,14202,504,585,26,1524,174,0,0,45061,5554,0,0,27310,3943,0,0,,,0,0,,,,0,0,23,0,15660,0,5456,806,883,279,757,107,10167,1248,,,1744,0,1090,0,1943,0,52,2500,,,TRUE,17,225,,,,,0,0,0,0,,,,,,,,,,,,,1080,,3,,1080,,512K-768Kbps,,Sage,Evergreen,50,20,0,0,0,52,1040,5714,,1403,1403,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1120,ME,CI,SO,TRUE,CI1,
OR0014,2018,Josephine Community Library District,200 NW C St,Grants Pass,97526,200 NW C St,Grants Pass,97526,Josephine,541-476-0571,NONE,1,3,0,25228,,2,2,12,286,26034,TRUE,TRUE,,,,,0,0,1275861,0,0,0,0,540498,0,0,0,0,276249,49206,76030,510,4972,6603,296952,,0,0,0,132782,10314,8755,521,10195,1282,81,14,45061,5554,0,0,27310,3943,0,0,,,0,0,,,,0,0,23,0,1572,0,117116,17502,7661,1370,98470,14714,,,,,40162,0,0,0,0,0,0,3538,,,TRUE,487,12317,,,,,2,23,59,2551,,,,,,,,,,,,,12889,,45,,49958,,11M-100Mbps,,NONE,Polaris,34604,28,6,6,0,52,2046,129200,,15470,23192,,,0.25,,0.1,5,60,37,47,20,26,16,22,12,18,12,18,39249,ME,LD,MO,TRUE,CO2,
OR0026,2018,Junction City Public Library,726 Greenwood St,Junction City,97448,726 Greenwood St,Junction City,97448,Lane,541-998-8942,NONE,1,0,0,1058,,1,1,0.68,20,453,TRUE,FALSE,,,,,97849,0,0,1000,0,0,0,800,0,0,0,0,90912,70714,14500,2000,600,500,0,,0,0,0,18427,1473,422,118,1370,123,0,0,45061,5554,94,94,27310,3943,49,49,,,0,0,,,,2,0,23,0,35,0,10411,2363,636,273,8502,3240,0,0,,,4036,0,375,0,290,0,517,2000,,,TRUE,60,840,,,,,0,0,1,40,,,,,,,,,,,,,3970,,7,,564,,Greater than 201Mbps,,Lane Council of Libraries,SirsiDynix,0,30,4,6,0,52,2040,16000,,2600,2600,,,0.1,,0.1,0,50,,,,,,,,,,,6075,ME,CI,SO,TRUE,CI1,
OR0027,2018,Klamath County Library Service District,126 S 3rd St,Klamath Falls,97601,126 S 3rd St,Klamath Falls,97601,Klamath,541-882-8894,NONE,1,11,0,40666,,5,7,26.36,263,2332,TRUE,TRUE,,,,,0,0,2796337,19939,0,0,0,146965,0,0,0,0,1024951,419806,207990,16378,68119,87833,539053,,0,0,0,178607,12008,16629,1709,22736,2112,3819,315,45061,5554,5260,991,27310,3943,2559,538,,,1077,1077,,,,3,0,23,0,2762,2762,263065,44518,,,130188,26052,,,,,38277,1077,0,1349,0,2343,,21206,,,TRUE,1441,22778,,,,,162,814,382,7973,,,,,,,,,,,,,76073,,70,,30946,,11M-100Mbps,,NONE,Polaris,162338,32,9,11,0,52,2628,319594,,23779,40276,,,0.1,,0.1,0.5,0,30.62,38.74,22.73,29.59,16.87,22.42,11.42,14.45,10.38,13.55,67690,NO,LD,MO,TRUE,CO1,
OR0031,2018,Lake County Library District,26 S G St,Lakeview,97630,26 S G St,Lakeview,97630,Lake,541-947-6019,NONE,1,3,0,3334,,1,1,4.26,51,397,TRUE,TRUE,,,,,0,9900,432997,15271,0,5105,943,24919,0,0,0,18894,166069,79936,17966,2915,1313,2600,120092,,33860,2710,0,43059,1417,1388,119,2350,195,3179,910,45061,5554,0,0,27310,3943,0,0,,,0,0,,,,0,0,23,0,67,0,23268,4489,1121,358,10518,2202,,,,,2082,0,2157,0,3307,4,96,1415,,,TRUE,153,2856,,,,,19,114,11,263,,,,,,,,,,,,,9741,,22,,n/a,,6.1M-10Mbps,,Sage,Evergreen,18577,38,9,4,0,52,2508,39862,,10113,12539,,,0.15,,,as charged by other library / OCLC cost,60,22.45,27.28,,,,,10.35,13.87,10,11.49,8120,ME,LD,MO,TRUE,CO1,
OR0029,2018,Lake Oswego Public Library,706 4th St,Lake Oswego,97034,706 Fourth St,Lake Oswego,97034,Clackamas,503-675-2539,LINCC,1,0,0,25923,,14.6,14.6,19.1,416,10648,TRUE,FALSE,,,,,2225030,0,2887574,6843,0,0,0,152348,434000,0,0,0,1817807,1098813,204005,21354,89859,101272,898845,,0,74500,0,117815,13302,17758,1950,22020,3533,1213,55,45061,5554,5050,1617,27310,3943,2369,748,,,0,0,,,,20,0,23,0,903,19626,362123,209098,17788,12602,192466,100627,,,,,45355,9758,221813,2150,218013,1388,358841,41439,,,TRUE,266,9970,,,,,33,345,155,17983,,,,,,,,,,,,,36187,,33,,n/a,,Greater than 201Mbps,,LINCC,SirsiDynix,561995,35,17,11,2,52,3213,263697,,27100,27100,,,0.25,,5,0,95,51.83,63,35.01,42.53,21.24,27.11,19.44,24.81,17.4,22.22,42386,ME,LD,SO,TRUE,CI2,
OR0030,2018,Lakeside Public Library,915 N Lake Rd,Lakeside,97449,PO Box R,Lakeside,97449,Coos,541-759-4432,CCLSD,1,0,0,,,0,1,2.5,27,656,TRUE,FALSE,,,,,0,0,77800,1000,0,0,0,5445,0,0,0,0,51477,6330,10300,472,0,1342,6625,,0,0,0,18005,1119,616,49,1653,342,16,2,45061,5554,465,465,27310,3943,59,59,,,60,60,,,,4,0,23,0,527,2189,21348,3660,1119,230,2224,466,,,,,1884,35,7796,475,10185,45,9836,1215,,,TRUE,58,275,,,,,0,0,2,35,,,,,,,,,,,,,3489,,7,,2678,,101M-200Mbps,,CCLSD,Koha,,28,2,4,0,52,1664,12125,,3500,3500,,,0.15,,0.15,0,100,20.5,22.5,,,,,,,10.5,12.72,2115,ME,CI,SO,TRUE,CI1,
OR0140,2018,Lane Library District,64 W Oregon Ave,Creswell,97426,PO Box 366,Creswell,97426,Lane,541-895-3053,NONE,1,0,0,2808,,2,2,1.7,45,3438,TRUE,TRUE,,,,,0,0,402465,1211,0,0,0,16275,25000,0,0,192429,156462,53120,15852,150,2495,857,126330,,83307,0,0,30175,1273,1225,236,3139,558,321,40,45061,5554,94,94,27310,3943,49,49,,,0,0,,,,1,0,23,0,148,12,21824,4388,2549,932,17715,3732,0,0,,,7495,150,1076,0,2889,0,0,13045,,,TRUE,229,5379,,,,,101,1379,298,5372,,,,,,,,,,,,,5269,,9,,n/a,,11M-100Mbps,,Lane Council of Libraries,SirsiDynix,1930,31,8,6,0,52,2300,98235,,4950,4950,,,,,0.25,0,50,25.59,39.41,,,19.74,30.4,14,21.55,,,9128,NO,LD,SO,TRUE,OTH,
OR0032,2018,Langlois Library District,48234 Hwy 101,Langlois,97450,PO Box 277,Langlois,97450,Curry,541-348-2066,NONE,1,0,0,774,,0,1,0.5,28,1323,FALSE,FALSE,,,,,0,0,76097,1000,0,853,0,14198,0,0,0,0,47665,9000,1621,1483,0,1054,32246,,0,0,0,18311,326,1059,19,2960,179,89,15,45061,5554,0,0,27310,3943,0,0,,,0,0,,,,8,0,23,0,0,0,9260,2890,1283,389,1336,147,45,9,,,2801,0,4104,0,2440,78,,1538,,,TRUE,24,495,,,,,0,0,55,603,,,,,,,,,,,,,2849,,4,,3604,,769Kbps-1.4 Mbps,,Curry County Library Network,Koha,29204,30,0,6,0,52,1987,9832,,3100,3100,,,,,0.15,0,100,,,,,,,,,10.5,,740,ME,LD,SO,TRUE,OTH,
OR0033,2018,Lebanon Public Library,55 Academy St,Lebanon,97355,55 Academy St,Lebanon,97355,Linn,541-258-4926,NONE,1,0,0,10358,,0,1,5.28,66,3060,TRUE,FALSE,,,,,594828,0,0,2558,0,0,0,36200,0,0,0,0,263252,125963,32486,4531,8213,8613,78719,,0,0,0,42425,2125,3833,219,5908,547,1015,192,45061,5554,0,0,27310,3943,0,0,,,0,0,,,,4,0,23,0,30,12034,63316,9428,5818,1011,44857,6666,,,,,13195,0,0,0,0,29,4062,7510,,,TRUE,126,6878,,,,,17,165,24,539,,,,,,,,,,,,,24833,,28,,56812,,101M-200Mbps,,Linn Libraries Consortium,Evergreen,18155,35,6,5,0,52,2246,131190,,19345,19345,,,0.2,,0.2,3,50,35.92,46.7,,,,,17.43,22.02,14.36,17.41,16720,NO,CI,SO,TRUE,CI1,
OR0043,2018,Ledding Library,10660 SE 21st Ave,Milwaukie,97222,10660 SE 21st Ave,Milwaukie,97222,Clackamas,503-786-7580,LINCC,1,0,0,21040,,6.5,6.5,12.16,1386,7758,TRUE,TRUE,,,,,825863,0,1670736,5833,0,0,0,67270,1000000,300000,0,126526,1137930,566226,87285,14206,26688,27438,778092,,35000,0,633042,72261,7869,8428,904,13449,1978,281,61,45061,5554,5050,1617,27310,3943,2369,748,,,0,0,,,,11,0,23,0,881,14148,219996,121220,9487,6223,164502,82848,,,,,24235,6917,150872,745,170780,997,402146,28670,,,TRUE,439,16043,,,,,0,0,185,3795,,,,,,,,,,,,,22237,,9,,51312,,Greater than 201Mbps,,LINCC,SirsiDynix,41223,35,17,12,2,52,3266,251470,,12250,12250,,,0.25,,0.1,as charged by other library / OCLC cost,95,42.88,54.63,30.42,38.82,25.05,31.96,20.6,26.3,16.92,21.63,41338,ME,LD,SO,TRUE,CI2,
OR9999,2018,Library Information Network Of Clackamas County,"1810 Red Soils Court, #110",Oregon City,97045,"1810 Red Soils Court, #110",Oregon City,97045,Clackamas,503-723-4888,LINCC,0,0,0,0,,4,4,9.5,0,0,FALSE,FALSE,,,,,0,2335432,0,0,14643,0,0,0,274596,0,0,0,743497,466308,0,0,36748,0,752367,,0,69943,0,0,0,0,0,0,0,0,0,45061,5554,5050,1617,27310,3943,2369,748,,,0,0,,,,11,0,23,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,FALSE,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,,0,,0,,Greater than 201Mbps,,LINCC,SirsiDynix,1519188,45,3,0,0,52,0,0,,0,0,,,0.25,,0.1,0,95,46.53,62.82,36.26,46.02,27.28,34.64,15.7,24.91,12,15.61,0,HQ,LD,MA,FALSE,CO2,
OR0134,2018,Lincoln County Library District,141 NW 11th St,Newport,97365,PO Box 2027,Newport,97365,Lincoln,541-265-3066,LCLD,0,1,0,2191,,2,2,2.65,97,209,TRUE,TRUE,,,,,0,0,303563,39758,0,0,0,4655,0,0,0,0,215207,98792,8463,2616,6098,4180,174304,,422,0,0,19500,539,973,13,2603,247,52,0,45061,5554,4771,0,27310,3943,0,0,,,0,0,,,,4,0,23,0,33,,7575,746,527,69,2264,264,0,0,,,614,0,1006,1387,612,937,2,634,,,TRUE,120,878,,,,,,,44,435,,,,,,,,,,,,,4422,,6,,n/a,,11M-100Mbps,,Chinook Library Network,Koha,,40,0,0,0,52,2080,9267,,825,3825,,,,,,0,45,,,,,,,16.61,23.63,,,2991,HQ,LD,MA,TRUE,CO2,
OR0143,2018,Lowell Public Library,107 E 3rd St,Lowell,97452,PO Box 490,Lowell,97452,Lane,541-937-2157,NONE,1,0,0,,,0,0,0,10,1890,TRUE,FALSE,,,,,6514,0,0,1000,0,0,0,0,0,0,0,0,0,50,0,0,0,7764,0,,0,0,0,9501,,161,,842,,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,0,23,0,0,0,,,,,,,2854,28,,,0,0,0,0,0,0,0,162,,,TRUE,6,43,,,,,0,0,2,11,,,,,,,,,,,,,1118,,3,,n/a,,11M-100Mbps,,NONE,other,,35,3,0,0,52,1950,2404,,560,560,,,,,,0,0,,,,,,,,,,,1070,NO,CI,SO,FALSE,CI1,
OR0036,2018,Lyons Public Library,279 8th St,Lyons,97358,448 Cedar St,Lyons,97358,Linn,503-859-2366,CCRLS,1,0,0,1368,,0,0.6,1.06,8,747,TRUE,FALSE,,,,,75000,0,17211,1000,0,44,0,2536,1683,0,0,0,37136,19755,1005,237,0,776,8164,,0,678,0,24655,695,652,35,1660,223,102,0,45061,5554,609,268,27310,3943,120,217,,,0,0,,,,15,0,23,0,2121,0,6224,2017,335,258,1469,868,0,0,,,2121,99,4867,69,1854,0,8028,1664,,,TRUE,14,348,,,,,0,0,0,0,,,,,,,,,,,,,2027,,6,,1530,,11M-100Mbps,,CCRLS,SirsiDynix,21920,16,5,6,0,52,1334,7075,,3250,3250,,,0.25,,0.25,as charged by other library / OCLC cost,60,0,0,0,0,0,0,0,0,0,0,1180,ME,CI,SO,TRUE,CI2,
OR0122,2018,Mary Gilkey Public Library,416 Ferry St,Dayton,97114,PO Box 339,Dayton,97114,Yamhill,503-864-2221,CCRLS,1,0,0,1203,,0.7,0.7,0.3,8,300,FALSE,FALSE,,,,,77565,0,11067,1000,0,0,0,614,0,0,0,0,39649,22931,2500,49,0,370,12115,,0,0,0,12464,399,57,6,974,74,0,0,45061,5554,609,268,27310,3943,322,217,,,0,0,,,,15,0,23,0,0,0,2401,814,133,71,1544,349,0,0,,,1308,57,4565,16,1638,0,2004,275,,,TRUE,11,705,,,,,0,0,0,0,,,,,,,,,,,,,2200,,3,,0,,6.1M-10Mbps,,CCRLS,SirsiDynix,0,40,0,0,0,52,2080,5250,,1380,1380,,,0.25,,,0,60,18.7,24.4,,,,,,,,,2670,ME,CI,SO,TRUE,CI2,
OR0039,2018,Mcminnville Public Library,225 NW Adams St,Mcminnville,97128,225 NW Adams St,Mcminnville,97128,Yamhill,503-435-5569,CCRLS,1,0,1,26866,,5.4,7.95,7.6,120,6011,TRUE,TRUE,,,,,1334629,0,166025,5361,0,0,0,61090,0,0,0,0,800100,381253,42520,5042,3413,15454,243352,,0,0,0,75853,6242,4532,308,8525,1108,612,194,45061,5554,665,280,27310,3943,337,226,,,0,0,,,,19,0,23,0,776,19206,132670,34925,12171,3148,91752,22386,,,,,33076,2163,44594,105,41912,398,68858,13013,,,TRUE,449,14115,,,,,48,392,44,816,,,,,,,,,,,,,32675,,36,,178546,,11M-100Mbps,,CCRLS,SirsiDynix,101256,28,9,8,0,52,2340,179205,,22000,22200,,,0.25,,0.1,1,60,40.07,51.14,23.86,30.45,19.58,24.99,17.72,22.65,10.85,13.81,33665,ME,CI,MO,TRUE,CI1,
OR0042,2018,Milton-Freewater Public Library,8 SW 8th Ave,Milton-Freewater,97862,8 SW 8th Ave,Milton-Freewater,97862,Umatilla,541-938-8247,UCSLD,1,0,0,4100,,1,1,2.93,13,2700,TRUE,FALSE,,,,,131878,0,204263,1257,0,0,0,32235,4796,0,0,0,191556,116003,18000,600,0,0,22265,,0,0,0,26995,1315,1433,101,1953,336,0,0,45061,5554,0,0,27310,3943,0,0,,,0,0,,,,0,0,23,0,0,0,21750,5179,1301,411,13187,2709,2517,0,,,3488,0,2946,0,3407,0,0,5000,,,TRUE,89,3383,,,,,0,0,76,620,,,,,,,,,,,,,4500,,14,,19076,,101M-200Mbps,,Sage,Evergreen,22987,32,8,4,0,52,2288,23444,,12800,12800,,,0.2,,,0,40,32.81,39.87,0,0,0,0,16.34,19.85,15.51,18.91,10123,ME,CI,SO,TRUE,CI1,
OR0044,2018,Molalla Public Library,201 E 5th St,Molalla,97038,PO Box 1289,Molalla,97038,Clackamas,503-829-2593,LINCC,1,0,0,7989,,1,2,4.5,15,250,TRUE,TRUE,,,,,0,0,873119,4073,0,0,0,24565,0,0,0,0,349967,157956,64368,2941,8480,20182,174073,,0,0,0,41464,5631,4836,511,7435,925,331,61,45061,5554,5050,1617,27310,3943,2369,748,,,0,0,,,,13,0,23,0,531,8482,82445,46088,6394,5045,45701,18523,,,,,11447,1625,89155,580,70757,142,140979,1847,,,TRUE,214,7288,,,,,43,1062,44,1062,,,,,,,,,,,,,11019,,8,,7964,,Greater than 201Mbps,,LINCC,SirsiDynix,449,35,12,12,0,52,2959,159826,,10000,10000,,,0.25,,5,0,95,,,,,22.17,28.7,14.5,22.75,13,18.5,24917,ME,LD,SO,TRUE,CI2,
OR0045,2018,Monmouth Public Library,168 S Ecols St,Monmouth,97361,PO Box 10,Monmouth,97361,Polk,503-838-1932,CCRLS,1,0,0,7186,,3,3,3.38,49,2005,TRUE,FALSE,,,,,532690,0,88321,2423,0,0,0,14166,0,0,0,0,332497,150433,39644,4802,0,4726,105498,,0,0,0,67231,4609,3910,238,3976,493,119,20,45061,5554,609,268,27310,3943,322,217,,,0,0,,,,16,0,23,0,0,0,57792,11696,3409,1143,31267,7362,0,0,,,9393,432,16991,33,12397,129,34094,4264,,,TRUE,103,5485,,,,,0,0,23,343,,,,,,,,,,,,,8959,,11,,31053,,6.1M-10Mbps,,CCRLS,SirsiDynix,0,28,10,7,0,52,2297,52546,,14400,14400,,,0.1,,,0,60,33.9,45.56,,,21.11,28.37,17.23,24.78,14.07,21.64,9855,ME,CI,SO,TRUE,CI2,
OR0047,2018,Mt. Angel Public Library,290 E Charles St,Mount Angel,97362,PO Box 870,Mount Angel,97362,Marion,503-845-6401,CCRLS,1,0,0,2062,,0.75,0.75,0.95,28,762,TRUE,FALSE,,,,,112913,0,21419,1000,0,0,0,4812,0,0,0,0,84239,23745,10000,1108,0,2100,18952,,0,0,0,28987,1457,362,25,1743,152,88,12,45061,5554,609,268,27310,3943,322,217,,,0,0,,,,16,0,23,0,0,0,10691,3332,1038,395,9806,2237,0,0,,,1634,85,7769,61,4694,88,7227,1532,,,TRUE,130,2454,,,,,8,52,18,111,,,,,,,,,,,,,1438,,6,,1179,,6.1M-10Mbps,,CCRLS,SirsiDynix,,24,1,4,0,49,1508,14828,,4100,4100,,,0.15,,0.15,0,60,25.16,32.12,,,16.19,20.66,16.19,20.66,,,3400,ME,CI,SO,TRUE,CI2,
OR0063,2018,Multnomah County Library,919 NE 19th Ave,Portland,97232,"919 NE 19th Ave, Suite 250",Portland,97232,Multnomah,503-988-5403,NONE,1,18,0,465828,,83.5,83.5,456.2,2102,64261,TRUE,TRUE,,,,,0,33617,78855752,108000,0,0,0,3257845,9281129,0,0,0,29100295,20077053,2422311,169829,4008887,926866,20111546,,154708,299389,0,1462634,203153,66837,9814,147884,37838,6237,53,0,0,367083,76963,0,0,315275,54540,,,14189,2871,,,,111,2,23,0,,,,,,,,,8113388,7853424,,,0,2588084,0,7564,0,18019,698395,225682,,,TRUE,11921,244292,,,,,1789,18074,4690,48939,,,,,,,,,,,,,675007,,717,,1878469,,Greater than 201Mbps,,NONE,Innovative Interfaces,3868361,31,11,14,1,52,2964,3775485,,125000,277762,,,0.25,,0,as charged by other library / OCLC cost,180,59.37,94.99,41.26,61.89,28.13,34.52,21.08,25.82,17.76,21.7,803000,ME,CO,MA,TRUE,CO1,
OR0050,2018,Newberg Public Library,503 E Hancock St,Newberg,97132,503 E Hancock St,Newberg,97132,Yamhill,503-537-0304,CCRLS,1,0,0,19459,,2.75,3,6.69,58,4306,TRUE,TRUE,,,,,1541455,0,72430,4397,16898,0,0,78876,37506,0,0,0,711296,300100,84511,5619,6691,14373,591466,,0,0,39542,80952,9137,5941,326,5019,447,638,79,45061,5554,698,357,27310,3943,433,318,,,0,0,,,,18,1,23,0,6571,1211,77136,31108,9219,3995,106180,40450,1502,0,,,33266,0,37976,52,37544,273,14899,7950,,,TRUE,312,15250,,,,,76,1217,41,904,,,,,,,,,,,,,10073,,13,,43317,,11M-100Mbps,,CCRLS,SirsiDynix,93330,26,9,7,0,52,2142,176000,,22500,22500,,,0.25,,,as charged by other library / OCLC cost,80,43.01,55.06,25.58,36.58,22.59,28.92,20.44,26.17,17.52,22.44,23480,ME,CI,SO,TRUE,CI2,
OR0051,2018,Newport Public Library,35 NW Nye St,Newport,97365,35 NW Nye St,Newport,97365,Lincoln,541-574-0600,LCLD,1,0,0,16952,,4,6,5.5,45,2147,FALSE,TRUE,,,,,814548,0,324765,1144,0,0,0,20615,19272,0,0,12000,602065,223438,65236,10907,30585,12422,216419,,0,0,31272,68013,6518,4082,361,8345,1048,437,362,45061,5554,3417,0,27310,3943,0,0,,,0,0,,,,9,1,23,0,328,34914,154222,32058,7741,1554,44049,8486,,,,,13447,0,25630,782,32009,997,85781,20553,,,TRUE,458,14182,,,,,10,109,84,1257,,,,,,,,,,,,,27044,,16,,16858,,11M-100Mbps,,Other,Innovative Interfaces,148475,35,14,12,1,52,3134,163002,,17000,17000,,,,,,3,50,30.67,40.39,21.8,28.7,17.08,22.49,15.49,20.4,14.05,18.5,17928,ME,CI,SO,TRUE,CI1,
OR0052,2018,North Bend Public Library,1800 Sherman Ave,North Bend,97459,1800 Sherman Ave,North Bend,97459,Coos,541-756-0400,CCLSD,1,0,0,,,3,4,7.25,43,1526,TRUE,TRUE,,,,,0,0,774167,1235,0,0,0,39471,0,0,0,0,404936,174282,53806,3088,0,12485,118982,,0,0,0,93648,3487,6116,454,8449,1099,2048,500,45061,5554,0,0,27310,3943,59,59,,,60,60,,,,4,0,23,0,119,496,101876,26158,10182,1482,21722,10213,,,,,9818,184,30480,1127,29987,373,186074,15260,,,TRUE,135,1577,,,,,4,44,66,1272,,,,,,,,,,,,,18558,,12,,n/a,,11M-100Mbps,,CCLSD,Koha,,35,5,4,1,52,2230,125531,,22129,22129,,,0.15,,0.15,0,100,31.81,40.55,,,,,13.7,17.39,10.42,13.4,16910,ME,CI,SO,TRUE,CI1,
